timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.76336E+12,88,/roller/-353,200,OK,User1 2-2,text,TRUE,,6552,471,7,7,http://172.26.129.146:8080/roller/,88,0,0,,,,,,
1.76336E+12,44,/roller/-353,200,OK,User1 2-4,text,TRUE,,6552,471,7,7,http://172.26.129.146:8080/roller/,44,0,0,,,,,,
1.76336E+12,50,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-6,text,TRUE,,6284,951,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,,
1.76336E+12,48,/roller/roller-ui/menu.rol-358,200,OK,User1 2-1,text,TRUE,,6284,941,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,22,0,0,,,,,,
1.76336E+12,6,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-6,,TRUE,,170,480,7,7,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,6,0,0,,,,,,
1.76336E+12,22,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-1,,TRUE,,170,470,7,7,http://172.26.129.146:8080/roller/roller-ui/menu.rol,22,0,0,,,,,,
1.76336E+12,44,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-6,text,TRUE,,6114,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,44,0,0,,,,,,
1.76336E+12,26,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-1,text,TRUE,,6114,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,26,0,0,,,,,,
1.76336E+12,35,/roller/roller_j_security_check-338,200,OK,User1 2-7,text,TRUE,,6553,1221,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,27,0,0,,,,,,
1.76336E+12,27,/roller/roller_j_security_check-338-0,302,Found,User1 2-7,,TRUE,,259,637,8,8,http://172.26.129.146:8080/roller/roller_j_security_check,27,0,0,,,,,,
1.76336E+12,8,/roller/roller_j_security_check-338-1,200,OK,User1 2-7,text,TRUE,,6294,584,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,8,0,0,,,,,,
1.76336E+12,38,/roller/roller-ui/menu.rol-348,200,OK,User1 2-5,text,TRUE,,6284,979,8,8,http://172.26.129.146:8080/roller/roller-ui/login.rol,26,0,0,,,,,,
