timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,# of messages,,,47855
1.76E+12,57,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-8,text,TRUE,,6284,951,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,18,0,0,,,,,
1.76E+12,15,/roller/roller_j_security_check-338-0,302,Found,User1 2-6,,TRUE,,259,637,9,9,http://172.26.129.146:8080/roller/roller_j_security_check,15,0,0,,,,,
1.76E+12,57,/roller/roller_j_security_check-338-1,200,OK,User1 2-6,text,TRUE,,6294,584,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,57,0,0,,,,,
1.76E+12,18,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-8,,TRUE,,170,480,9,9,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,18,0,0,,,,,
1.76E+12,39,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-8,text,TRUE,,6114,471,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,39,0,0,,,,,
1.76E+12,67,/roller/-332,200,OK,User1 2-9,text,TRUE,,7249,356,9,9,http://172.26.129.146:8080/roller/,67,0,10,,,,,
1.76E+12,58,/roller/-410,200,OK,User1 2-2,text,TRUE,,6552,489,10,10,http://172.26.129.146:8080/roller/,58,0,0,,,,,
1.76E+12,79,/roller/roller-ui/register.rol-411,200,OK,User1 2-1,text,TRUE,,56617,474,10,10,http://172.26.129.146:8080/roller/roller-ui/register.rol,58,0,0,,,,,
1.76E+12,20,/roller/roller-ui/login.rol-340,200,OK,User1 2-6,text,TRUE,,6294,501,10,10,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,20,0,0,,,,,
1.76E+12,78,/roller/roller_j_security_check-338,200,OK,User1 2-5,text,TRUE,,6553,1221,10,10,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,57,0,0,,,,,
1.76E+12,57,/roller/roller_j_security_check-338-0,302,Found,User1 2-5,,TRUE,,259,637,10,10,http://172.26.129.146:8080/roller/roller_j_security_check,57,0,0,,,,,
1.76E+12,20,/roller/roller_j_security_check-338-1,200,OK,User1 2-5,text,TRUE,,6294,584,10,10,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,20,0,0,,,,,
1.76E+12,31,/roller/roller-ui/menu.rol-343,200,OK,User1 2-4,text,TRUE,,6284,1001,10,10,http://172.26.129.146:8080/roller/roller-ui/login.rol,16,0,0,,,,,
1.76E+12,16,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-4,,TRUE,,170,500,10,10,http://172.26.129.146:8080/roller/roller-ui/menu.rol,16,0,0,,,,,
1.76E+12,15,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-4,text,TRUE,,6114,501,10,10,http://172.26.129.146:8080/roller/roller-ui/login.rol,15,0,0,,,,,
1.76E+12,47,/roller/roller-ui/menu.rol-343,200,OK,User1 2-7,text,TRUE,,6284,1001,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,16,0,0,,,,,
1.76E+12,16,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-7,,TRUE,,170,500,11,11,http://172.26.129.146:8080/roller/roller-ui/menu.rol,16,0,0,,,,,
1.76E+12,31,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-7,text,TRUE,,6114,501,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,15,0,0,,,,,
