timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.76336E+12,395,/roller/-332,200,OK,User1 2-14,text,TRUE,,7104,356,22,32,http://172.26.129.146:8080/roller/,395,0,10,,,,
1.76336E+12,405,/roller/-627,200,OK,User2 3-3,text,TRUE,,7104,418,11,33,http://172.26.129.146:8080/roller/,405,0,11,,,,
1.76336E+12,474,/roller/-627,200,OK,User2 3-2,text,TRUE,,7104,418,11,34,http://172.26.129.146:8080/roller/,473,0,50,,,,
1.76336E+12,318,/roller/roller_j_security_check-338,200,OK,User1 2-6,text,TRUE,,6452,1221,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,5,0,0,,,,
1.76336E+12,5,/roller/roller_j_security_check-338-0,302,Found,User1 2-6,,TRUE,,259,637,23,34,http://172.26.129.146:8080/roller/roller_j_security_check,5,0,0,,,,
1.76336E+12,313,/roller/roller_j_security_check-338-1,200,OK,User1 2-6,text,TRUE,,6193,584,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,313,0,0,,,,
1.76336E+12,506,/roller/roller-ui/login.rol-340,200,OK,User1 2-4,text,TRUE,,6193,501,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,506,0,0,,,,
1.76336E+12,515,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-7,text,TRUE,,6183,951,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,177,0,0,,,,
1.76336E+12,177,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-7,,TRUE,,170,480,23,34,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,177,0,0,,,,
1.76336E+12,337,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-7,text,TRUE,,6013,471,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,337,0,0,,,,
1.76336E+12,513,/roller/-332,200,OK,User1 2-13,text,TRUE,,7104,356,23,34,http://172.26.129.146:8080/roller/,513,0,7,,,,
1.76336E+12,343,/roller/roller-ui/menu.rol-343,200,OK,User1 2-3,text,TRUE,,6183,1001,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,
1.76336E+12,9,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-3,,TRUE,,170,500,23,34,http://172.26.129.146:8080/roller/roller-ui/menu.rol,9,0,0,,,,
1.76336E+12,334,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-3,text,TRUE,,6013,501,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,334,0,0,,,,
1.76336E+12,350,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-11,text,TRUE,,6183,951,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,77,0,0,,,,
1.76336E+12,77,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-11,,TRUE,,170,480,23,34,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,77,0,0,,,,
1.76336E+12,273,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-11,text,TRUE,,6013,471,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,270,0,0,,,,
1.76336E+12,351,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-10,text,TRUE,,6183,951,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,77,0,0,,,,
1.76336E+12,77,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-10,,TRUE,,170,480,23,34,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,77,0,0,,,,
1.76336E+12,274,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-10,text,TRUE,,6013,471,23,34,http://172.26.129.146:8080/roller/roller-ui/login.rol,274,0,0,,,,
1.76336E+12,358,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-8,text,TRUE,,6183,951,23,35,http://172.26.129.146:8080/roller/roller-ui/login.rol,62,0,0,,,,
1.76336E+12,62,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-8,,TRUE,,170,480,23,35,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,62,0,0,,,,
1.76336E+12,296,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-8,text,TRUE,,6013,471,23,35,http://172.26.129.146:8080/roller/roller-ui/login.rol,296,0,0,,,,
1.76336E+12,368,/roller/roller-ui/menu.rol-343,200,OK,User1 2-1,text,TRUE,,6183,1001,23,35,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,
1.76336E+12,8,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-1,,TRUE,,170,500,23,35,http://172.26.129.146:8080/roller/roller-ui/menu.rol,8,0,0,,,,
1.76336E+12,360,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-1,text,TRUE,,6013,501,23,35,http://172.26.129.146:8080/roller/roller-ui/login.rol,360,0,0,,,,
1.76336E+12,225,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-12,text,TRUE,,6183,951,24,37,http://172.26.129.146:8080/roller/roller-ui/login.rol,60,0,0,,,,
1.76336E+12,60,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-12,,TRUE,,170,480,24,37,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,60,0,0,,,,
1.76336E+12,164,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-12,text,TRUE,,6013,471,24,37,http://172.26.129.146:8080/roller/roller-ui/login.rol,164,0,0,,,,
1.76336E+12,233,/roller/roller-ui/menu.rol-343,200,OK,User1 2-2,text,TRUE,,6183,1001,24,37,http://172.26.129.146:8080/roller/roller-ui/login.rol,89,0,0,,,,
1.76336E+12,89,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-2,,TRUE,,170,500,24,37,http://172.26.129.146:8080/roller/roller-ui/menu.rol,89,0,0,,,,
1.76336E+12,144,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-2,text,TRUE,,6013,501,24,37,http://172.26.129.146:8080/roller/roller-ui/login.rol,144,0,0,,,,
1.76336E+12,89,/roller/roller-ui/login.rol-340,200,OK,User1 2-6,text,TRUE,,6193,501,24,37,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,89,0,0,,,,
1.76336E+12,85,/roller/roller-ui/menu.rol-348,200,OK,User1 2-3,text,TRUE,,6183,979,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,
1.76336E+12,7,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-3,,TRUE,,170,489,25,38,http://172.26.129.146:8080/roller/roller-ui/menu.rol,7,0,0,,,,
1.76336E+12,77,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-3,text,TRUE,,6013,490,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,77,0,0,,,,
1.76336E+12,90,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-13,text,TRUE,,6183,951,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,
1.76336E+12,101,/roller/roller-ui/menu.rol-343,200,OK,User1 2-4,text,TRUE,,6183,1001,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,
1.76336E+12,6,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-13,,TRUE,,170,480,25,38,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,6,0,0,,,,
1.76336E+12,10,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-4,,TRUE,,170,500,25,38,http://172.26.129.146:8080/roller/roller-ui/menu.rol,10,0,0,,,,
1.76336E+12,84,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-13,text,TRUE,,6013,471,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,84,0,0,,,,
1.76336E+12,90,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-4,text,TRUE,,6013,501,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,90,0,0,,,,
1.76336E+12,130,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-14,text,TRUE,,6183,951,25,38,http://172.26.129.146:8080/roller/roller-ui/login.rol,39,0,0,,,,
